2017 final AP poll,,,,,2016 final AP poll,,,,2015 final AP poll,,,,2015 final AP poll,,,,2013 final AP poll,,,,2012 final AP poll,,,,2011 final AP poll,,,,2010 final AP poll,,,,2009 final AP poll,,,,2008 final AP poll,,,,2007 final AP poll,,,,2006 final AP poll,,,,2005 final AP poll,,,,2004 final AP poll,,,,2003 final AP poll,,,,2002 final AP poll,,,,2001 final AP poll,,,,2000 final AP poll,,,,1999 final AP poll,,,,1998 final AP poll,,,,1997 final AP poll,,,
Rank,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team (FPV),Record,Points,Previous,Team,Record,Points,Previous
1,Alabama (57),13-1,"1,521",4,Clemson (60),14-1,"1,500",3,Alabama (61),14-1,"1,525",2,Alabama (61),14-1,"1,525",2,Florida State (60),14-0,"1,500",1,Alabama (59),13-1,"1,475",2,Alabama (55),12/1,"1,495",2,Auburn (56),14-0,"1,472",1,Alabama (60),14-0,"1,500",1,Florida (48),13-1,"1,606",1,Louisiana State (60),12/2,"1,620",2,Florida (64),13-1,"1,624",2,Texas (65),13-0,"1,625",2,Southern Cal (62),13-0,"1,622",1,Southern Cal (48),12/1,"1,608",1,Ohio State (71),14-0,"1,775",2,Miami Fla (72),12/1,"1,800",1,Oklahoma (71),13-0,"1,775",1,Florida St (70),12/1,"1,750",1,Tennessee (70),13-0,"1,750",1,Michigan (51½ ),12/1,"1,731½",1
2,Georgia,13-3,"1,454",3,Alabama,14-1,"1,440",1,Clemson,14-1,"1,464",1,Clemson,14-1,"1,464",1,Auburn,12/2,"1,428",2,Oregon,12/1,"1,358",5,Louisiana State (1),13-1,"1,425",1,Texas Christian,13-0,"1,392",3,Texas,13-1,"1,399",2,Utah (16),13-0,"1,519",7,Georgia (3),11/2,"1,515",4,Ohio State,12/1,"1,492",1,Southern Cal,12/1,"1,560",1,Auburn (1),13-0,"1,559",3,Louisiana State (17),13-1,"1,576",2,Miami-Florida,12/1,"1,693",1,Oregon,11/1,"1,726",2,Miami Fla,11/1,"1,690",2,Virginia Tech,11/1,"1,647",2,Ohio St.,11/1,"1,673",3,Nebraska (18½ ),13-0,"1,698½",2
3,Oklahoma,12/2,"1,374",2,Southern Cal,10/3,"1,292",9,Stanford,12/2,"1,360",5,Stanford,12/2,"1,360",5,Michigan State,13-1,"1,385",4,Ohio State,12/1,"1,302",3,Oklahoma State (4),12/1,"1,399",3,Oregon,12/1,"1,379",2,Florida,13-1,"1,370",5,Southern Cal (1),12/1,"1,481",5,Southern Cal (1),11/2,"1,500",6,Louisiana St.,11/2,"1,452",4,Penn State,11/1,"1,484",3,Oklahoma,12/1,"1,454",2,Oklahoma,12/2,"1,476",3,Georgia,13-1,"1,598",4,Florida,10/2,"1,611",5,Washington,11/1,"1,634",4,Nebraska,12/1,"1,634",3,Florida St.,11/2,"1,574",2,Florida St.,11/1,"1,599",4
4,Clemson,12/2,"1,292",1,Washington,12/2,"1,277",4,Ohio State,12/1,"1,342",7,Ohio State,12/1,"1,342",7,South Carolina,11/2,"1,247",8,Notre Dame,12/1,"1,288",1,Oregon,12/2,"1,250",6,Stanford,12/1,"1,300",5,Boise State,14-0,"1,366",6,Texas,12/1,"1,478",3,Missouri,12/2,"1,347",7,Southern Cal,11/2,"1,389",8,Ohio State,10/2,"1,428",4,Utah,12/1,"1,438",5,Ohio State,11/2,"1,411",7,Southern Cal,11/2,"1,590",5,Tennessee,11/2,"1,581",8,Oregon St,11/1,"1,539",5,Wisconsin,10/2,"1,519",4,Arizona,12/1,"1,535",5,Florida,10/2,"1,455",6
5,Ohio State,12/2,"1,286",5,Oklahoma,11/2,"1,252",7,Oklahoma,11/2,"1,270",4,Oklahoma,11/2,"1,270",4,Missouri,12/2,"1,236",9,Georgia,12/2,"1,230",6,Arkansas,11/2,"1,198",7,Ohio State,12/1,"1,220",6,Ohio State,11/2,"1,224",8,Oklahoma,12/2,"1,391",2,Ohio State,11/2,"1,346",1,Boise State (1),13-0,"1,383",9,West Virginia,11/1,"1,325",11,Texas,11/1,"1,391",6,Miami-Florida,11/2,"1,329",10,Oklahoma,12/2,"1,476",8,Texas,11/2,"1,374",9,Florida St,11/2,"1,488",3,Michigan,10/2,"1,406",8,Florida,10/1,"1,463",7,UCLA,10/2,"1,413",5
6,Central Florida (4),13-0,"1,248",10,Ohio State,11/2,"1,240",2,Michigan State,12/2,"1,227",3,Michigan State,12/2,"1,227",3,Oklahoma,11/2,"1,205",11,Texas A&M,11/2,"1,230",10,Southern Cal,10/2,"1,181",5,Oklahoma,12/2,"1,108",9,Texas Christian,12/1,"1,163",3,Alabama,12/2,"1,264",4,West Virginia,11/2,"1,342",11,Louisville,12/1,"1,338",5,Louisiana State,11/2,"1,314",10,Louisville,11/1,"1,261",7,Michigan,10/3,"1,281",4,Texas,11/2,"1,363",9,Oklahoma,11/2,"1,373",10,Virginia Tech,11/1,"1,432",6,Kansas St,11/1,"1,402",7,Wisconsin,11/1,"1,427",9,North Carolina,11/1,"1,397",7
7,Wisconsin,13-1,"1,194",6,Penn State,11/3,"1,130",5,Texas Christian,11/2,"1,098",11,Texas Christian,11/2,"1,098",11,Alabama,11/2,"1,114",3,Stanford,12/2,"1,169",8,Stanford,11/2,"1,167",4,Wisconsin,11/2,"1,055",4,Iowa,11/2,"1,126",10,Texas Christian,11/2,"1,193",11,Kansas (1),12/1,"1,303",8,Wisconsin,12/1,"1,288",12,Virginia Tech,11/2,"1,197",12,Georgia,10/2,"1,204",8,Georgia,11/3,"1,255",11,Kansas State,11/2,"1,356",6,LSU,10/3,"1,350",12,Oregon,10/2,"1,299",8,Michigan St,10/2,"1,357",9,Tulane,12/1,"1,252",10,Tennessee,11/2,"1,320",3
8,Penn State,11/2,"1,120",9,Florida State,10/3,"1,105",10,Houston,13-1,"1,050",14,Houston,13-1,"1,050",14,Clemson,11/2,"1,078",12,South Carolina,11/2,"1,038",11,Boise State,12/1,"1,127",8,Louisiana State,11/2,"1,051",11,Cincinnati,12/1,"1,060",4,Penn State,11/2,"1,153",6,Oklahoma,11/3,"1,139",3,Michigan,11/2,"1,145",6,Alabama,10/2,"1,081",13,Iowa,10/2,"1,111",11,Iowa,10/3,"1,107",13,Iowa,11/2,"1,334",3,Nebraska,11/2,"1,348",4,Nebraska,10/2,"1,282",9,Alabama,10/3,"1,236",5,UCLA,10/2,"1,123",6,Kansas St.,11/1,"1,302",10
9,Texas Christian,11/3,974,13,Wisconsin,11/3,"1,032",8,Iowa,12/2,981,6,Iowa,12/2,981,6,Oregon,11/2,974,10,Florida,11/2,933,4,South Carolina,11/2,"1,013",10,Boise State,12/1,"1,031",10,Penn State,11/2,"1,016",11,Ohio State,10/3,"1,013",10,Virginia Tech,11/3,"1,096",5,Auburn,11/2,"1,112",10,Notre Dame,9/3,"1,019",5,California,10/2,"1,060",4,Washington State,10/3,"1,060",15,Michigan,10/3,"1,182",12,Colorado,10/3,"1,335",3,Kansas St,11/3,"1,258",11,Tennessee,9/3,"1,168",6,Georgia Tech,10/2,"1,122",12,Washington St.,10/2,"1,259",8
10,Auburn,10/4,917,7,Michigan,10/3,"1,001",6,Mississippi,10/3,975,16,Mississippi,10/3,975,16,Central Florida,12/1,959,15,Florida State,12/2,922,13,Wisconsin,11/3,905,9,Alabama,10/3,961,15,Virginia Tech,10/3,953,12,Oregon,10/3,997,15,Boston College,11/3,962,14,West Virginia,11/2,"1,035",13,Georgia,10/3,994,8,Virginia Tech,10/3,996,9,Miami-Ohio,13-1,932,14,Washington St,10/3,"1,085",7,Washington St,10/2,"1,074",13,Florida,10/3,"1,128",7,Marshall,13-0,"1,136",11,Kansas State,11/2,"1,086",4,Georgia,10/2,"1,121",12
