Rank,2017 final AP poll,2017 Record,2016 final AP poll,2016 Record,2015 final AP poll,2015 Record,2014 final AP poll,2014 Record,2013 final AP poll,2013 Record,2012 final AP poll,2012 Record,2011 final AP poll,2011 Record,2010 final AP poll,2010 Record,2009 final AP poll,Record,2008 final AP poll,Record,2007 final AP poll,Record,2006 final AP poll,Record,2005 final AP poll,Record,2004 final AP poll,Record,2003 final AP poll,Record,2002 final AP poll,Record,2001 final AP poll,Record,2000 final AP poll,Record,1999 final AP poll,Record,1998 final AP poll,Record,1997 final AP poll,Record,
1,Alabama ,13-1,Clemson (60),14-1,Alabama (61),14-1,Ohio State (59),14-1,Florida State (60),14-0,Alabama (59),13-1,Alabama (55),12/1,Auburn (56),14-0,Alabama (60),14-0,Florida (48),13-1,Louisiana State (60),12/2,Florida (64),13-1,Texas (65),13-0,Southern Cal (62),13-0,Southern Cal (48),12/1,Ohio State (71),14-0,Miami Fla (72),12/1,Oklahoma (71),13-0,Florida St (70),12/1,Tennessee (70),13-0,Michigan (51½ ),12/1,
2,Georgia,13-3,Alabama,14-1,Clemson,14-1,Oregon,13-2,Auburn,12/2,Oregon,12/1,Louisiana State (1),13-1,Texas Christian,13-0,Texas,13-1,Utah (16),13-0,Georgia (3),11/2,Ohio State,12/1,Southern Cal,12/1,Auburn (1),13-0,Louisiana State (17),13-1,Miami-Florida,12/1,Oregon,11/1,Miami Fla,11/1,Virginia Tech,11/1,Ohio St.,11/1,Nebraska (18½ ),13-0,
3,Oklahoma,12/2,Southern Cal,10/3,Stanford,12/2,Texas Christian,12/1,Michigan State,13-1,Ohio State,12/1,Oklahoma State (4),12/1,Oregon,12/1,Florida,13-1,Southern Cal (1),12/1,Southern Cal (1),11/2,Louisiana St.,11/2,Penn State,11/1,Oklahoma,12/1,Oklahoma,12/2,Georgia,13-1,Florida,10/2,Washington,11/1,Nebraska,12/1,Florida St.,11/2,Florida St.,11/1,
4,Clemson,12/2,Washington,12/2,Ohio State,12/1,Alabama,12/2,South Carolina,11/2,Notre Dame,12/1,Oregon,12/2,Stanford,12/1,Boise State,14-0,Texas,12/1,Missouri,12/2,Southern Cal,11/2,Ohio State,10/2,Utah,12/1,Ohio State,11/2,Southern Cal,11/2,Tennessee,11/2,Oregon St,11/1,Wisconsin,10/2,Arizona,12/1,Florida,10/2,
5,Ohio State,12/2,Oklahoma,11/2,Oklahoma,11/2,Florida State,13-1,Missouri,12/2,Georgia,12/2,Arkansas,11/2,Ohio State,12/1,Ohio State,11/2,Oklahoma,12/2,Ohio State,11/2,Boise State (1),13-0,West Virginia,11/1,Texas,11/1,Miami-Florida,11/2,Oklahoma,12/2,Texas,11/2,Florida St,11/2,Michigan,10/2,Florida,10/1,UCLA,10/2,
6,Central Florida ,13-0,Ohio State,11/2,Michigan State,12/2,Michigan State,11/2,Oklahoma,11/2,Texas A&M,11/2,Southern Cal,10/2,Oklahoma,12/2,Texas Christian,12/1,Alabama,12/2,West Virginia,11/2,Louisville,12/1,Louisiana State,11/2,Louisville,11/1,Michigan,10/3,Texas,11/2,Oklahoma,11/2,Virginia Tech,11/1,Kansas St,11/1,Wisconsin,11/1,North Carolina,11/1,
7,Wisconsin,13-1,Penn State,11/3,Texas Christian,11/2,Baylor,11/2,Alabama,11/2,Stanford,12/2,Stanford,11/2,Wisconsin,11/2,Iowa,11/2,Texas Christian,11/2,Kansas (1),12/1,Wisconsin,12/1,Virginia Tech,11/2,Georgia,10/2,Georgia,11/3,Kansas State,11/2,LSU,10/3,Oregon,10/2,Michigan St,10/2,Tulane,12/1,Tennessee,11/2,
8,Penn State,11/2,Florida State,10/3,Houston,13-1,Georgia Tech,11/3,Clemson,11/2,South Carolina,11/2,Boise State,12/1,Louisiana State,11/2,Cincinnati,12/1,Penn State,11/2,Oklahoma,11/3,Michigan,11/2,Alabama,10/2,Iowa,10/2,Iowa,10/3,Iowa,11/2,Nebraska,11/2,Nebraska,10/2,Alabama,10/3,UCLA,10/2,Kansas St.,11/1,
9,Texas Christian,11/3,Wisconsin,11/3,Iowa,12/2,Georgia,10/3,Oregon,11/2,Florida,11/2,South Carolina,11/2,Boise State,12/1,Penn State,11/2,Ohio State,10/3,Virginia Tech,11/3,Auburn,11/2,Notre Dame,9/3,California,10/2,Washington State,10/3,Michigan,10/3,Colorado,10/3,Kansas St,11/3,Tennessee,9/3,Georgia Tech,10/2,Washington St.,10/2,
10,Auburn,10/4,Michigan,10/3,Mississippi,10/3,UCLA,10/3,Central Florida,12/1,Florida State,12/2,Wisconsin,11/3,Alabama,10/3,Virginia Tech,10/3,Oregon,10/3,Boston College,11/3,West Virginia,11/2,Georgia,10/3,Virginia Tech,10/3,Miami-Ohio,13-1,Washington St,10/3,Washington St,10/2,Florida,10/3,Marshall,13-0,Kansas State,11/2,Georgia,10/2,
